Location,Pixel_val,Coord_val
48,"(0, 48)","(-13.29847222188996, 7.044127778650873)"
49,"(0, 49)","(-13.29847222188996, 6.982550000380474)"
50,"(1, 0)","(-13.23785555473836, 9.999861135630074)"
51,"(1, 1)","(-13.23785555473836, 9.938283357359673)"
52,"(1, 2)","(-13.23785555473836, 9.876705579089274)"
53,"(1, 3)","(-13.23785555473836, 9.815127800818873)"
54,"(1, 4)","(-13.23785555473836, 9.753550022548474)"
55,"(1, 5)","(-13.23785555473836, 9.691972244278073)"
56,"(1, 6)","(-13.23785555473836, 9.630394466007674)"
57,"(1, 7)","(-13.23785555473836, 9.568816687737273)"
58,"(1, 8)","(-13.23785555473836, 9.507238909466874)"
59,"(1, 9)","(-13.23785555473836, 9.445661131196474)"
60,"(1, 10)","(-13.23785555473836, 9.384083352926073)"
61,"(1, 11)","(-13.23785555473836, 9.322505574655674)"
62,"(1, 12)","(-13.23785555473836, 9.260927796385273)"
63,"(1, 13)","(-13.23785555473836, 9.199350018114874)"
64,"(1, 14)","(-13.23785555473836, 9.137772239844473)"
65,"(1, 15)","(-13.23785555473836, 9.076194461574074)"
66,"(1, 16)","(-13.23785555473836, 9.014616683303673)"
67,"(1, 17)","(-13.23785555473836, 8.953038905033274)"
68,"(1, 18)","(-13.23785555473836, 8.891461126762874)"
69,"(1, 19)","(-13.23785555473836, 8.829883348492473)"
70,"(1, 20)","(-13.23785555473836, 8.768305570222074)"
71,"(1, 21)","(-13.23785555473836, 8.706727791951673)"
72,"(1, 22)","(-13.23785555473836, 8.645150013681274)"
73,"(1, 23)","(-13.23785555473836, 8.583572235410873)"
74,"(1, 24)","(-13.23785555473836, 8.521994457140474)"
75,"(1, 25)","(-13.23785555473836, 8.460416678870073)"
76,"(1, 26)","(-13.23785555473836, 8.398838900599674)"
77,"(1, 27)","(-13.23785555473836, 8.337261122329274)"
78,"(1, 28)","(-13.23785555473836, 8.275683344058873)"
79,"(1, 29)","(-13.23785555473836, 8.214105565788474)"
80,"(1, 30)","(-13.23785555473836, 8.152527787518073)"
81,"(1, 31)","(-13.23785555473836, 8.090950009247674)"
82,"(1, 32)","(-13.23785555473836, 8.029372230977273)"
83,"(1, 33)","(-13.23785555473836, 7.967794452706873)"
84,"(1, 34)","(-13.23785555473836, 7.9062166744364735)"
85,"(1, 35)","(-13.23785555473836, 7.844638896166074)"
86,"(1, 36)","(-13.23785555473836, 7.783061117895674)"
87,"(1, 37)","(-13.23785555473836, 7.721483339625273)"
88,"(1, 38)","(-13.23785555473836, 7.659905561354874)"
89,"(1, 39)","(-13.23785555473836, 7.598327783084473)"
90,"(1, 40)","(-13.23785555473836, 7.536750004814074)"
91,"(1, 41)","(-13.23785555473836, 7.475172226543673)"
92,"(1, 42)","(-13.23785555473836, 7.413594448273273)"
93,"(1, 43)","(-13.23785555473836, 7.3520166700028735)"
94,"(1, 44)","(-13.23785555473836, 7.290438891732474)"
