Location,Pixel_val,Coord_val
448,"(8, 48)","(-12.81353888467716, 7.044127778650873)"
449,"(8, 49)","(-12.81353888467716, 6.982550000380474)"
450,"(9, 0)","(-12.752922217525558, 9.999861135630074)"
451,"(9, 1)","(-12.752922217525558, 9.938283357359673)"
452,"(9, 2)","(-12.752922217525558, 9.876705579089274)"
453,"(9, 3)","(-12.752922217525558, 9.815127800818873)"
454,"(9, 4)","(-12.752922217525558, 9.753550022548474)"
455,"(9, 5)","(-12.752922217525558, 9.691972244278073)"
456,"(9, 6)","(-12.752922217525558, 9.630394466007674)"
457,"(9, 7)","(-12.752922217525558, 9.568816687737273)"
458,"(9, 8)","(-12.752922217525558, 9.507238909466874)"
459,"(9, 9)","(-12.752922217525558, 9.445661131196474)"
460,"(9, 10)","(-12.752922217525558, 9.384083352926073)"
461,"(9, 11)","(-12.752922217525558, 9.322505574655674)"
462,"(9, 12)","(-12.752922217525558, 9.260927796385273)"
463,"(9, 13)","(-12.752922217525558, 9.199350018114874)"
464,"(9, 14)","(-12.752922217525558, 9.137772239844473)"
465,"(9, 15)","(-12.752922217525558, 9.076194461574074)"
466,"(9, 16)","(-12.752922217525558, 9.014616683303673)"
467,"(9, 17)","(-12.752922217525558, 8.953038905033274)"
468,"(9, 18)","(-12.752922217525558, 8.891461126762874)"
469,"(9, 19)","(-12.752922217525558, 8.829883348492473)"
470,"(9, 20)","(-12.752922217525558, 8.768305570222074)"
471,"(9, 21)","(-12.752922217525558, 8.706727791951673)"
472,"(9, 22)","(-12.752922217525558, 8.645150013681274)"
473,"(9, 23)","(-12.752922217525558, 8.583572235410873)"
474,"(9, 24)","(-12.752922217525558, 8.521994457140474)"
475,"(9, 25)","(-12.752922217525558, 8.460416678870073)"
476,"(9, 26)","(-12.752922217525558, 8.398838900599674)"
477,"(9, 27)","(-12.752922217525558, 8.337261122329274)"
478,"(9, 28)","(-12.752922217525558, 8.275683344058873)"
479,"(9, 29)","(-12.752922217525558, 8.214105565788474)"
480,"(9, 30)","(-12.752922217525558, 8.152527787518073)"
481,"(9, 31)","(-12.752922217525558, 8.090950009247674)"
482,"(9, 32)","(-12.752922217525558, 8.029372230977273)"
483,"(9, 33)","(-12.752922217525558, 7.967794452706873)"
484,"(9, 34)","(-12.752922217525558, 7.9062166744364735)"
485,"(9, 35)","(-12.752922217525558, 7.844638896166074)"
486,"(9, 36)","(-12.752922217525558, 7.783061117895674)"
487,"(9, 37)","(-12.752922217525558, 7.721483339625273)"
488,"(9, 38)","(-12.752922217525558, 7.659905561354874)"
489,"(9, 39)","(-12.752922217525558, 7.598327783084473)"
490,"(9, 40)","(-12.752922217525558, 7.536750004814074)"
491,"(9, 41)","(-12.752922217525558, 7.475172226543673)"
492,"(9, 42)","(-12.752922217525558, 7.413594448273273)"
493,"(9, 43)","(-12.752922217525558, 7.3520166700028735)"
494,"(9, 44)","(-12.752922217525558, 7.290438891732474)"
495,"(9, 45)","(-12.752922217525558, 7.228861113462074)"
496,"(9, 46)","(-12.752922217525558, 7.167283335191673)"
497,"(9, 47)","(-12.752922217525558, 7.105705556921274)"
498,"(9, 48)","(-12.752922217525558, 7.044127778650873)"
499,"(9, 49)","(-12.752922217525558, 6.982550000380474)"
500,"(10, 0)","(-12.692305550373959, 9.999861135630074)"
501,"(10, 1)","(-12.692305550373959, 9.938283357359673)"
502,"(10, 2)","(-12.692305550373959, 9.876705579089274)"
503,"(10, 3)","(-12.692305550373959, 9.815127800818873)"
504,"(10, 4)","(-12.692305550373959, 9.753550022548474)"
505,"(10, 5)","(-12.692305550373959, 9.691972244278073)"
506,"(10, 6)","(-12.692305550373959, 9.630394466007674)"
507,"(10, 7)","(-12.692305550373959, 9.568816687737273)"
508,"(10, 8)","(-12.692305550373959, 9.507238909466874)"
509,"(10, 9)","(-12.692305550373959, 9.445661131196474)"
510,"(10, 10)","(-12.692305550373959, 9.384083352926073)"
511,"(10, 11)","(-12.692305550373959, 9.322505574655674)"
512,"(10, 12)","(-12.692305550373959, 9.260927796385273)"
513,"(10, 13)","(-12.692305550373959, 9.199350018114874)"
514,"(10, 14)","(-12.692305550373959, 9.137772239844473)"
515,"(10, 15)","(-12.692305550373959, 9.076194461574074)"
516,"(10, 16)","(-12.692305550373959, 9.014616683303673)"
517,"(10, 17)","(-12.692305550373959, 8.953038905033274)"
518,"(10, 18)","(-12.692305550373959, 8.891461126762874)"
519,"(10, 19)","(-12.692305550373959, 8.829883348492473)"
520,"(10, 20)","(-12.692305550373959, 8.768305570222074)"
521,"(10, 21)","(-12.692305550373959, 8.706727791951673)"
522,"(10, 22)","(-12.692305550373959, 8.645150013681274)"
523,"(10, 23)","(-12.692305550373959, 8.583572235410873)"
524,"(10, 24)","(-12.692305550373959, 8.521994457140474)"
525,"(10, 25)","(-12.692305550373959, 8.460416678870073)"
526,"(10, 26)","(-12.692305550373959, 8.398838900599674)"
527,"(10, 27)","(-12.692305550373959, 8.337261122329274)"
528,"(10, 28)","(-12.692305550373959, 8.275683344058873)"
529,"(10, 29)","(-12.692305550373959, 8.214105565788474)"
530,"(10, 30)","(-12.692305550373959, 8.152527787518073)"
531,"(10, 31)","(-12.692305550373959, 8.090950009247674)"
532,"(10, 32)","(-12.692305550373959, 8.029372230977273)"
533,"(10, 33)","(-12.692305550373959, 7.967794452706873)"
534,"(10, 34)","(-12.692305550373959, 7.9062166744364735)"
535,"(10, 35)","(-12.692305550373959, 7.844638896166074)"
536,"(10, 36)","(-12.692305550373959, 7.783061117895674)"
537,"(10, 37)","(-12.692305550373959, 7.721483339625273)"
538,"(10, 38)","(-12.692305550373959, 7.659905561354874)"
539,"(10, 39)","(-12.692305550373959, 7.598327783084473)"
540,"(10, 40)","(-12.692305550373959, 7.536750004814074)"
541,"(10, 41)","(-12.692305550373959, 7.475172226543673)"
542,"(10, 42)","(-12.692305550373959, 7.413594448273273)"
543,"(10, 43)","(-12.692305550373959, 7.3520166700028735)"
544,"(10, 44)","(-12.692305550373959, 7.290438891732474)"
545,"(10, 45)","(-12.692305550373959, 7.228861113462074)"
546,"(10, 46)","(-12.692305550373959, 7.167283335191673)"
547,"(10, 47)","(-12.692305550373959, 7.105705556921274)"
548,"(10, 48)","(-12.692305550373959, 7.044127778650873)"
549,"(10, 49)","(-12.692305550373959, 6.982550000380474)"
550,"(11, 0)","(-12.63168888322236, 9.999861135630074)"
551,"(11, 1)","(-12.63168888322236, 9.938283357359673)"
552,"(11, 2)","(-12.63168888322236, 9.876705579089274)"
553,"(11, 3)","(-12.63168888322236, 9.815127800818873)"
554,"(11, 4)","(-12.63168888322236, 9.753550022548474)"
555,"(11, 5)","(-12.63168888322236, 9.691972244278073)"
556,"(11, 6)","(-12.63168888322236, 9.630394466007674)"
557,"(11, 7)","(-12.63168888322236, 9.568816687737273)"
558,"(11, 8)","(-12.63168888322236, 9.507238909466874)"
559,"(11, 9)","(-12.63168888322236, 9.445661131196474)"
560,"(11, 10)","(-12.63168888322236, 9.384083352926073)"
561,"(11, 11)","(-12.63168888322236, 9.322505574655674)"
562,"(11, 12)","(-12.63168888322236, 9.260927796385273)"
563,"(11, 13)","(-12.63168888322236, 9.199350018114874)"
564,"(11, 14)","(-12.63168888322236, 9.137772239844473)"
565,"(11, 15)","(-12.63168888322236, 9.076194461574074)"
566,"(11, 16)","(-12.63168888322236, 9.014616683303673)"
567,"(11, 17)","(-12.63168888322236, 8.953038905033274)"
568,"(11, 18)","(-12.63168888322236, 8.891461126762874)"
569,"(11, 19)","(-12.63168888322236, 8.829883348492473)"
570,"(11, 20)","(-12.63168888322236, 8.768305570222074)"
571,"(11, 21)","(-12.63168888322236, 8.706727791951673)"
572,"(11, 22)","(-12.63168888322236, 8.645150013681274)"
573,"(11, 23)","(-12.63168888322236, 8.583572235410873)"
574,"(11, 24)","(-12.63168888322236, 8.521994457140474)"
575,"(11, 25)","(-12.63168888322236, 8.460416678870073)"
576,"(11, 26)","(-12.63168888322236, 8.398838900599674)"
577,"(11, 27)","(-12.63168888322236, 8.337261122329274)"
578,"(11, 28)","(-12.63168888322236, 8.275683344058873)"
579,"(11, 29)","(-12.63168888322236, 8.214105565788474)"
580,"(11, 30)","(-12.63168888322236, 8.152527787518073)"
581,"(11, 31)","(-12.63168888322236, 8.090950009247674)"
582,"(11, 32)","(-12.63168888322236, 8.029372230977273)"
583,"(11, 33)","(-12.63168888322236, 7.967794452706873)"
584,"(11, 34)","(-12.63168888322236, 7.9062166744364735)"
585,"(11, 35)","(-12.63168888322236, 7.844638896166074)"
586,"(11, 36)","(-12.63168888322236, 7.783061117895674)"
587,"(11, 37)","(-12.63168888322236, 7.721483339625273)"
588,"(11, 38)","(-12.63168888322236, 7.659905561354874)"
589,"(11, 39)","(-12.63168888322236, 7.598327783084473)"
590,"(11, 40)","(-12.63168888322236, 7.536750004814074)"
591,"(11, 41)","(-12.63168888322236, 7.475172226543673)"
592,"(11, 42)","(-12.63168888322236, 7.413594448273273)"
593,"(11, 43)","(-12.63168888322236, 7.3520166700028735)"
594,"(11, 44)","(-12.63168888322236, 7.290438891732474)"
595,"(11, 45)","(-12.63168888322236, 7.228861113462074)"
596,"(11, 46)","(-12.63168888322236, 7.167283335191673)"
597,"(11, 47)","(-12.63168888322236, 7.105705556921274)"
598,"(11, 48)","(-12.63168888322236, 7.044127778650873)"
599,"(11, 49)","(-12.63168888322236, 6.982550000380474)"
600,"(12, 0)","(-12.571072216070759, 9.999861135630074)"
601,"(12, 1)","(-12.571072216070759, 9.938283357359673)"
602,"(12, 2)","(-12.571072216070759, 9.876705579089274)"
603,"(12, 3)","(-12.571072216070759, 9.815127800818873)"
604,"(12, 4)","(-12.571072216070759, 9.753550022548474)"
605,"(12, 5)","(-12.571072216070759, 9.691972244278073)"
606,"(12, 6)","(-12.571072216070759, 9.630394466007674)"
607,"(12, 7)","(-12.571072216070759, 9.568816687737273)"
608,"(12, 8)","(-12.571072216070759, 9.507238909466874)"
609,"(12, 9)","(-12.571072216070759, 9.445661131196474)"
610,"(12, 10)","(-12.571072216070759, 9.384083352926073)"
611,"(12, 11)","(-12.571072216070759, 9.322505574655674)"
612,"(12, 12)","(-12.571072216070759, 9.260927796385273)"
613,"(12, 13)","(-12.571072216070759, 9.199350018114874)"
614,"(12, 14)","(-12.571072216070759, 9.137772239844473)"
615,"(12, 15)","(-12.571072216070759, 9.076194461574074)"
616,"(12, 16)","(-12.571072216070759, 9.014616683303673)"
617,"(12, 17)","(-12.571072216070759, 8.953038905033274)"
618,"(12, 18)","(-12.571072216070759, 8.891461126762874)"
619,"(12, 19)","(-12.571072216070759, 8.829883348492473)"
620,"(12, 20)","(-12.571072216070759, 8.768305570222074)"
621,"(12, 21)","(-12.571072216070759, 8.706727791951673)"
622,"(12, 22)","(-12.571072216070759, 8.645150013681274)"
623,"(12, 23)","(-12.571072216070759, 8.583572235410873)"
624,"(12, 24)","(-12.571072216070759, 8.521994457140474)"
625,"(12, 25)","(-12.571072216070759, 8.460416678870073)"
626,"(12, 26)","(-12.571072216070759, 8.398838900599674)"
627,"(12, 27)","(-12.571072216070759, 8.337261122329274)"
628,"(12, 28)","(-12.571072216070759, 8.275683344058873)"
629,"(12, 29)","(-12.571072216070759, 8.214105565788474)"
630,"(12, 30)","(-12.571072216070759, 8.152527787518073)"
631,"(12, 31)","(-12.571072216070759, 8.090950009247674)"
632,"(12, 32)","(-12.571072216070759, 8.029372230977273)"
633,"(12, 33)","(-12.571072216070759, 7.967794452706873)"
634,"(12, 34)","(-12.571072216070759, 7.9062166744364735)"
635,"(12, 35)","(-12.571072216070759, 7.844638896166074)"
636,"(12, 36)","(-12.571072216070759, 7.783061117895674)"
637,"(12, 37)","(-12.571072216070759, 7.721483339625273)"
638,"(12, 38)","(-12.571072216070759, 7.659905561354874)"
639,"(12, 39)","(-12.571072216070759, 7.598327783084473)"
640,"(12, 40)","(-12.571072216070759, 7.536750004814074)"
641,"(12, 41)","(-12.571072216070759, 7.475172226543673)"
642,"(12, 42)","(-12.571072216070759, 7.413594448273273)"
643,"(12, 43)","(-12.571072216070759, 7.3520166700028735)"
644,"(12, 44)","(-12.571072216070759, 7.290438891732474)"
645,"(12, 45)","(-12.571072216070759, 7.228861113462074)"
646,"(12, 46)","(-12.571072216070759, 7.167283335191673)"
647,"(12, 47)","(-12.571072216070759, 7.105705556921274)"
648,"(12, 48)","(-12.571072216070759, 7.044127778650873)"
649,"(12, 49)","(-12.571072216070759, 6.982550000380474)"
650,"(13, 0)","(-12.51045554891916, 9.999861135630074)"
651,"(13, 1)","(-12.51045554891916, 9.938283357359673)"
652,"(13, 2)","(-12.51045554891916, 9.876705579089274)"
653,"(13, 3)","(-12.51045554891916, 9.815127800818873)"
654,"(13, 4)","(-12.51045554891916, 9.753550022548474)"
655,"(13, 5)","(-12.51045554891916, 9.691972244278073)"
656,"(13, 6)","(-12.51045554891916, 9.630394466007674)"
657,"(13, 7)","(-12.51045554891916, 9.568816687737273)"
658,"(13, 8)","(-12.51045554891916, 9.507238909466874)"
659,"(13, 9)","(-12.51045554891916, 9.445661131196474)"
660,"(13, 10)","(-12.51045554891916, 9.384083352926073)"
661,"(13, 11)","(-12.51045554891916, 9.322505574655674)"
662,"(13, 12)","(-12.51045554891916, 9.260927796385273)"
663,"(13, 13)","(-12.51045554891916, 9.199350018114874)"
664,"(13, 14)","(-12.51045554891916, 9.137772239844473)"
665,"(13, 15)","(-12.51045554891916, 9.076194461574074)"
666,"(13, 16)","(-12.51045554891916, 9.014616683303673)"
667,"(13, 17)","(-12.51045554891916, 8.953038905033274)"
668,"(13, 18)","(-12.51045554891916, 8.891461126762874)"
669,"(13, 19)","(-12.51045554891916, 8.829883348492473)"
670,"(13, 20)","(-12.51045554891916, 8.768305570222074)"
671,"(13, 21)","(-12.51045554891916, 8.706727791951673)"
672,"(13, 22)","(-12.51045554891916, 8.645150013681274)"
673,"(13, 23)","(-12.51045554891916, 8.583572235410873)"
674,"(13, 24)","(-12.51045554891916, 8.521994457140474)"
675,"(13, 25)","(-12.51045554891916, 8.460416678870073)"
676,"(13, 26)","(-12.51045554891916, 8.398838900599674)"
677,"(13, 27)","(-12.51045554891916, 8.337261122329274)"
678,"(13, 28)","(-12.51045554891916, 8.275683344058873)"
679,"(13, 29)","(-12.51045554891916, 8.214105565788474)"
680,"(13, 30)","(-12.51045554891916, 8.152527787518073)"
681,"(13, 31)","(-12.51045554891916, 8.090950009247674)"
682,"(13, 32)","(-12.51045554891916, 8.029372230977273)"
683,"(13, 33)","(-12.51045554891916, 7.967794452706873)"
684,"(13, 34)","(-12.51045554891916, 7.9062166744364735)"
685,"(13, 35)","(-12.51045554891916, 7.844638896166074)"
686,"(13, 36)","(-12.51045554891916, 7.783061117895674)"
687,"(13, 37)","(-12.51045554891916, 7.721483339625273)"
688,"(13, 38)","(-12.51045554891916, 7.659905561354874)"
689,"(13, 39)","(-12.51045554891916, 7.598327783084473)"
690,"(13, 40)","(-12.51045554891916, 7.536750004814074)"
691,"(13, 41)","(-12.51045554891916, 7.475172226543673)"
692,"(13, 42)","(-12.51045554891916, 7.413594448273273)"
693,"(13, 43)","(-12.51045554891916, 7.3520166700028735)"
694,"(13, 44)","(-12.51045554891916, 7.290438891732474)"
695,"(13, 45)","(-12.51045554891916, 7.228861113462074)"
696,"(13, 46)","(-12.51045554891916, 7.167283335191673)"
697,"(13, 47)","(-12.51045554891916, 7.105705556921274)"
698,"(13, 48)","(-12.51045554891916, 7.044127778650873)"
699,"(13, 49)","(-12.51045554891916, 6.982550000380474)"
700,"(14, 0)","(-12.449838881767558, 9.999861135630074)"
701,"(14, 1)","(-12.449838881767558, 9.938283357359673)"
702,"(14, 2)","(-12.449838881767558, 9.876705579089274)"
703,"(14, 3)","(-12.449838881767558, 9.815127800818873)"
704,"(14, 4)","(-12.449838881767558, 9.753550022548474)"
705,"(14, 5)","(-12.449838881767558, 9.691972244278073)"
706,"(14, 6)","(-12.449838881767558, 9.630394466007674)"
707,"(14, 7)","(-12.449838881767558, 9.568816687737273)"
708,"(14, 8)","(-12.449838881767558, 9.507238909466874)"
709,"(14, 9)","(-12.449838881767558, 9.445661131196474)"
710,"(14, 10)","(-12.449838881767558, 9.384083352926073)"
711,"(14, 11)","(-12.449838881767558, 9.322505574655674)"
712,"(14, 12)","(-12.449838881767558, 9.260927796385273)"
713,"(14, 13)","(-12.449838881767558, 9.199350018114874)"
714,"(14, 14)","(-12.449838881767558, 9.137772239844473)"
715,"(14, 15)","(-12.449838881767558, 9.076194461574074)"
716,"(14, 16)","(-12.449838881767558, 9.014616683303673)"
717,"(14, 17)","(-12.449838881767558, 8.953038905033274)"
718,"(14, 18)","(-12.449838881767558, 8.891461126762874)"
719,"(14, 19)","(-12.449838881767558, 8.829883348492473)"
720,"(14, 20)","(-12.449838881767558, 8.768305570222074)"
721,"(14, 21)","(-12.449838881767558, 8.706727791951673)"
722,"(14, 22)","(-12.449838881767558, 8.645150013681274)"
723,"(14, 23)","(-12.449838881767558, 8.583572235410873)"
724,"(14, 24)","(-12.449838881767558, 8.521994457140474)"
725,"(14, 25)","(-12.449838881767558, 8.460416678870073)"
726,"(14, 26)","(-12.449838881767558, 8.398838900599674)"
727,"(14, 27)","(-12.449838881767558, 8.337261122329274)"
728,"(14, 28)","(-12.449838881767558, 8.275683344058873)"
729,"(14, 29)","(-12.449838881767558, 8.214105565788474)"
730,"(14, 30)","(-12.449838881767558, 8.152527787518073)"
731,"(14, 31)","(-12.449838881767558, 8.090950009247674)"
732,"(14, 32)","(-12.449838881767558, 8.029372230977273)"
733,"(14, 33)","(-12.449838881767558, 7.967794452706873)"
734,"(14, 34)","(-12.449838881767558, 7.9062166744364735)"
735,"(14, 35)","(-12.449838881767558, 7.844638896166074)"
736,"(14, 36)","(-12.449838881767558, 7.783061117895674)"
737,"(14, 37)","(-12.449838881767558, 7.721483339625273)"
738,"(14, 38)","(-12.449838881767558, 7.659905561354874)"
739,"(14, 39)","(-12.449838881767558, 7.598327783084473)"
740,"(14, 40)","(-12.449838881767558, 7.536750004814074)"
741,"(14, 41)","(-12.449838881767558, 7.475172226543673)"
742,"(14, 42)","(-12.449838881767558, 7.413594448273273)"
743,"(14, 43)","(-12.449838881767558, 7.3520166700028735)"
744,"(14, 44)","(-12.449838881767558, 7.290438891732474)"
745,"(14, 45)","(-12.449838881767558, 7.228861113462074)"
746,"(14, 46)","(-12.449838881767558, 7.167283335191673)"
747,"(14, 47)","(-12.449838881767558, 7.105705556921274)"
748,"(14, 48)","(-12.449838881767558, 7.044127778650873)"
749,"(14, 49)","(-12.449838881767558, 6.982550000380474)"
750,"(15, 0)","(-12.389222214615959, 9.999861135630074)"
751,"(15, 1)","(-12.389222214615959, 9.938283357359673)"
752,"(15, 2)","(-12.389222214615959, 9.876705579089274)"
753,"(15, 3)","(-12.389222214615959, 9.815127800818873)"
754,"(15, 4)","(-12.389222214615959, 9.753550022548474)"
755,"(15, 5)","(-12.389222214615959, 9.691972244278073)"
756,"(15, 6)","(-12.389222214615959, 9.630394466007674)"
757,"(15, 7)","(-12.389222214615959, 9.568816687737273)"
758,"(15, 8)","(-12.389222214615959, 9.507238909466874)"
759,"(15, 9)","(-12.389222214615959, 9.445661131196474)"
760,"(15, 10)","(-12.389222214615959, 9.384083352926073)"
761,"(15, 11)","(-12.389222214615959, 9.322505574655674)"
762,"(15, 12)","(-12.389222214615959, 9.260927796385273)"
763,"(15, 13)","(-12.389222214615959, 9.199350018114874)"
764,"(15, 14)","(-12.389222214615959, 9.137772239844473)"
765,"(15, 15)","(-12.389222214615959, 9.076194461574074)"
766,"(15, 16)","(-12.389222214615959, 9.014616683303673)"
767,"(15, 17)","(-12.389222214615959, 8.953038905033274)"
768,"(15, 18)","(-12.389222214615959, 8.891461126762874)"
769,"(15, 19)","(-12.389222214615959, 8.829883348492473)"
770,"(15, 20)","(-12.389222214615959, 8.768305570222074)"
771,"(15, 21)","(-12.389222214615959, 8.706727791951673)"
772,"(15, 22)","(-12.389222214615959, 8.645150013681274)"
773,"(15, 23)","(-12.389222214615959, 8.583572235410873)"
774,"(15, 24)","(-12.389222214615959, 8.521994457140474)"
775,"(15, 25)","(-12.389222214615959, 8.460416678870073)"
776,"(15, 26)","(-12.389222214615959, 8.398838900599674)"
777,"(15, 27)","(-12.389222214615959, 8.337261122329274)"
778,"(15, 28)","(-12.389222214615959, 8.275683344058873)"
779,"(15, 29)","(-12.389222214615959, 8.214105565788474)"
780,"(15, 30)","(-12.389222214615959, 8.152527787518073)"
781,"(15, 31)","(-12.389222214615959, 8.090950009247674)"
782,"(15, 32)","(-12.389222214615959, 8.029372230977273)"
783,"(15, 33)","(-12.389222214615959, 7.967794452706873)"
784,"(15, 34)","(-12.389222214615959, 7.9062166744364735)"
785,"(15, 35)","(-12.389222214615959, 7.844638896166074)"
786,"(15, 36)","(-12.389222214615959, 7.783061117895674)"
787,"(15, 37)","(-12.389222214615959, 7.721483339625273)"
788,"(15, 38)","(-12.389222214615959, 7.659905561354874)"
789,"(15, 39)","(-12.389222214615959, 7.598327783084473)"
790,"(15, 40)","(-12.389222214615959, 7.536750004814074)"
791,"(15, 41)","(-12.389222214615959, 7.475172226543673)"
792,"(15, 42)","(-12.389222214615959, 7.413594448273273)"
793,"(15, 43)","(-12.389222214615959, 7.3520166700028735)"
794,"(15, 44)","(-12.389222214615959, 7.290438891732474)"
795,"(15, 45)","(-12.389222214615959, 7.228861113462074)"
796,"(15, 46)","(-12.389222214615959, 7.167283335191673)"
797,"(15, 47)","(-12.389222214615959, 7.105705556921274)"
798,"(15, 48)","(-12.389222214615959, 7.044127778650873)"
799,"(15, 49)","(-12.389222214615959, 6.982550000380474)"
800,"(16, 0)","(-12.32860554746436, 9.999861135630074)"
801,"(16, 1)","(-12.32860554746436, 9.938283357359673)"
802,"(16, 2)","(-12.32860554746436, 9.876705579089274)"
803,"(16, 3)","(-12.32860554746436, 9.815127800818873)"
804,"(16, 4)","(-12.32860554746436, 9.753550022548474)"
805,"(16, 5)","(-12.32860554746436, 9.691972244278073)"
806,"(16, 6)","(-12.32860554746436, 9.630394466007674)"
807,"(16, 7)","(-12.32860554746436, 9.568816687737273)"
808,"(16, 8)","(-12.32860554746436, 9.507238909466874)"
809,"(16, 9)","(-12.32860554746436, 9.445661131196474)"
810,"(16, 10)","(-12.32860554746436, 9.384083352926073)"
811,"(16, 11)","(-12.32860554746436, 9.322505574655674)"
812,"(16, 12)","(-12.32860554746436, 9.260927796385273)"
813,"(16, 13)","(-12.32860554746436, 9.199350018114874)"
814,"(16, 14)","(-12.32860554746436, 9.137772239844473)"
815,"(16, 15)","(-12.32860554746436, 9.076194461574074)"
816,"(16, 16)","(-12.32860554746436, 9.014616683303673)"
817,"(16, 17)","(-12.32860554746436, 8.953038905033274)"
818,"(16, 18)","(-12.32860554746436, 8.891461126762874)"
819,"(16, 19)","(-12.32860554746436, 8.829883348492473)"
820,"(16, 20)","(-12.32860554746436, 8.768305570222074)"
821,"(16, 21)","(-12.32860554746436, 8.706727791951673)"
822,"(16, 22)","(-12.32860554746436, 8.645150013681274)"
823,"(16, 23)","(-12.32860554746436, 8.583572235410873)"
824,"(16, 24)","(-12.32860554746436, 8.521994457140474)"
825,"(16, 25)","(-12.32860554746436, 8.460416678870073)"
826,"(16, 26)","(-12.32860554746436, 8.398838900599674)"
827,"(16, 27)","(-12.32860554746436, 8.337261122329274)"
828,"(16, 28)","(-12.32860554746436, 8.275683344058873)"
829,"(16, 29)","(-12.32860554746436, 8.214105565788474)"
830,"(16, 30)","(-12.32860554746436, 8.152527787518073)"
831,"(16, 31)","(-12.32860554746436, 8.090950009247674)"
832,"(16, 32)","(-12.32860554746436, 8.029372230977273)"
833,"(16, 33)","(-12.32860554746436, 7.967794452706873)"
834,"(16, 34)","(-12.32860554746436, 7.9062166744364735)"
835,"(16, 35)","(-12.32860554746436, 7.844638896166074)"
836,"(16, 36)","(-12.32860554746436, 7.783061117895674)"
837,"(16, 37)","(-12.32860554746436, 7.721483339625273)"
838,"(16, 38)","(-12.32860554746436, 7.659905561354874)"
839,"(16, 39)","(-12.32860554746436, 7.598327783084473)"
840,"(16, 40)","(-12.32860554746436, 7.536750004814074)"
841,"(16, 41)","(-12.32860554746436, 7.475172226543673)"
842,"(16, 42)","(-12.32860554746436, 7.413594448273273)"
843,"(16, 43)","(-12.32860554746436, 7.3520166700028735)"
844,"(16, 44)","(-12.32860554746436, 7.290438891732474)"
845,"(16, 45)","(-12.32860554746436, 7.228861113462074)"
846,"(16, 46)","(-12.32860554746436, 7.167283335191673)"
847,"(16, 47)","(-12.32860554746436, 7.105705556921274)"
848,"(16, 48)","(-12.32860554746436, 7.044127778650873)"
849,"(16, 49)","(-12.32860554746436, 6.982550000380474)"
850,"(17, 0)","(-12.267988880312759, 9.999861135630074)"
851,"(17, 1)","(-12.267988880312759, 9.938283357359673)"
852,"(17, 2)","(-12.267988880312759, 9.876705579089274)"
853,"(17, 3)","(-12.267988880312759, 9.815127800818873)"
854,"(17, 4)","(-12.267988880312759, 9.753550022548474)"
855,"(17, 5)","(-12.267988880312759, 9.691972244278073)"
856,"(17, 6)","(-12.267988880312759, 9.630394466007674)"
857,"(17, 7)","(-12.267988880312759, 9.568816687737273)"
858,"(17, 8)","(-12.267988880312759, 9.507238909466874)"
859,"(17, 9)","(-12.267988880312759, 9.445661131196474)"
860,"(17, 10)","(-12.267988880312759, 9.384083352926073)"
861,"(17, 11)","(-12.267988880312759, 9.322505574655674)"
862,"(17, 12)","(-12.267988880312759, 9.260927796385273)"
863,"(17, 13)","(-12.267988880312759, 9.199350018114874)"
864,"(17, 14)","(-12.267988880312759, 9.137772239844473)"
865,"(17, 15)","(-12.267988880312759, 9.076194461574074)"
866,"(17, 16)","(-12.267988880312759, 9.014616683303673)"
867,"(17, 17)","(-12.267988880312759, 8.953038905033274)"
868,"(17, 18)","(-12.267988880312759, 8.891461126762874)"
869,"(17, 19)","(-12.267988880312759, 8.829883348492473)"
870,"(17, 20)","(-12.267988880312759, 8.768305570222074)"
871,"(17, 21)","(-12.267988880312759, 8.706727791951673)"
872,"(17, 22)","(-12.267988880312759, 8.645150013681274)"
873,"(17, 23)","(-12.267988880312759, 8.583572235410873)"
874,"(17, 24)","(-12.267988880312759, 8.521994457140474)"
875,"(17, 25)","(-12.267988880312759, 8.460416678870073)"
876,"(17, 26)","(-12.267988880312759, 8.398838900599674)"
877,"(17, 27)","(-12.267988880312759, 8.337261122329274)"
878,"(17, 28)","(-12.267988880312759, 8.275683344058873)"
879,"(17, 29)","(-12.267988880312759, 8.214105565788474)"
880,"(17, 30)","(-12.267988880312759, 8.152527787518073)"
881,"(17, 31)","(-12.267988880312759, 8.090950009247674)"
882,"(17, 32)","(-12.267988880312759, 8.029372230977273)"
883,"(17, 33)","(-12.267988880312759, 7.967794452706873)"
884,"(17, 34)","(-12.267988880312759, 7.9062166744364735)"
885,"(17, 35)","(-12.267988880312759, 7.844638896166074)"
886,"(17, 36)","(-12.267988880312759, 7.783061117895674)"
887,"(17, 37)","(-12.267988880312759, 7.721483339625273)"
888,"(17, 38)","(-12.267988880312759, 7.659905561354874)"
889,"(17, 39)","(-12.267988880312759, 7.598327783084473)"
890,"(17, 40)","(-12.267988880312759, 7.536750004814074)"
891,"(17, 41)","(-12.267988880312759, 7.475172226543673)"
892,"(17, 42)","(-12.267988880312759, 7.413594448273273)"
893,"(17, 43)","(-12.267988880312759, 7.3520166700028735)"
894,"(17, 44)","(-12.267988880312759, 7.290438891732474)"
895,"(17, 45)","(-12.267988880312759, 7.228861113462074)"
896,"(17, 46)","(-12.267988880312759, 7.167283335191673)"
897,"(17, 47)","(-12.267988880312759, 7.105705556921274)"
