Column1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
24,0.082821311,0.061316388,0.027417726,0.00147294,0.001340539,0.00336672,0.00547092,0.005092164,0.02440872,0.012588497,0.005849676,0.005975928,0.005071122,0.004838507,0.008164296,0.002966922,0.00483966,0.005555088,0.006744585,0.007701372,0.007448868,0.004397778,0.005445939,0.007511994,0.005702382,0.001220436,0.000862722,0.000544594,0.001094184,0.001536066,0.004755492,0.003560806,0.003808602,0.018811548,0.001914822,0.000168336,0.004063508,0.002693376,0.006480936,0.005828634,0.0041054,0.002903796,0.00568134,0.008816598,0.000231462,0,0,0,0.000399798,0.000146621
25,0.49379261,0.405710799,0.178583453,0.002966922,0.006870261,0.004271526,0.012330612,0.021336588,0.006165306,0.005320263,0.006649272,0.00652302,0.008900766,0.006283775,0.009952866,0.008059086,0.008269506,0.055677132,0.022328348,0.005071122,0.004755492,0.005660298,0.005257425,0.006754482,0.006165306,0.001388772,0.001220436,0.000523648,0.001956906,0.00241983,0.009342648,0.003497968,0.00662823,0.00610218,0.000336672,6.31E-05,0.003058104,0.001830654,0.001430856,0.003850686,0.017112815,0.003177342,0.003514014,0.005113206,0,0,0,0.00252504,0.026597088,0.010661472
26,0.133637741,0.011846646,0.2668336,0.136604663,0.008420259,0.017717364,0.013719384,0.004334652,0.00294588,0.003225671,0.005639256,0.004292568,0.005323626,0.003749319,0.008816598,0.007175322,0.005407794,0.006480936,0.010577688,0.00704907,0.00536571,0.00305109,0.004084454,0.009447858,0.020915748,0.002146284,0.00894285,0.000712161,0.001220436,0.006144264,0.00178857,0.003854049,0.007596162,0.00357714,0.00126252,0.004292568,0.008273637,0.003703392,0.0021042,0.004166316,0.007331071,0.003240468,0.00852201,0.002798586,0,0,0.000799596,0.01167831,0.007343658,0.004210129
27,4.19E-05,0.024360102,6.28E-05,0.1916342,0.177227331,0.020736458,0.00754053,0.008524988,0.00467094,0.003273493,0.003037158,0.003393239,0.003372293,0.00688059,0.003686482,0.004482426,0.004293913,0.020275648,0.001626321,0.008860123,0.003874995,0.001570944,0.003106691,0.003288509,0.00297432,0.004398643,0.00194797,0.001021663,0.001549998,0.002073646,0.001675673,0.003732199,0.01175066,0.002366889,0.001047296,0.002534456,0.003899001,0.004189184,0.004712831,0.003393239,0.012864619,0.000481756,0.003895941,0.002492564,0.005843911,0.000521257,0.003958778,0.007372963,0.010808094,0.002710536
28,0,0.00410319,0.002461914,0.013908762,0.00774999,0.008269506,0.00189378,0.003703392,0.00252504,0.008252692,0.004019022,0.004292568,0.002251494,0.005152696,0.00284067,0.005597172,0.006060096,0.005428836,0.008378367,0.008500968,0.004439862,0.00031563,0.000733107,0.003703392,0.001094184,0.001304604,0.002083158,0.002010808,0.00305109,0.00294588,0.002188368,0.003497968,0.003619224,0.00199899,0.002882754,0.001325646,0.010368229,0.012393738,0.002987964,0.00768033,0.009258096,0.001704402,0.004902786,0.0094689,0.040526892,0.014557413,0.007554078,0.0073647,0.0231462,0.002848645
29,0,0,0.010605168,0.034235334,0.000481756,0.003135258,0.00589176,0.005134248,0.00273546,0.003686482,0.015486912,0.00536571,0.005428836,0.001529052,0.003030048,0.00715428,0.002335662,0.002146284,0.004293913,0.004124232,0.018748422,0.001388772,0.000586486,0.00263025,0.00189378,0.001283562,0.003661308,0.002722969,0.003009006,0.003850686,0.004271526,0.00456621,0.01956906,0.001872738,0.003303594,0.010521,0.032906037,0.031184244,0.015108156,0.010899756,0.008189854,0.00462924,0.00789075,0.011194344,0.008353674,0.005047966,0.011068092,0.00536571,0.005534046,0.004629048
30,0,0.000778554,0.002230452,0,0,8.42E-05,0.007406784,0.005702382,0.002230452,0.007372963,0.00599697,0.002503998,0.001073142,0.005383101,0.047070954,0.001935864,0.00231462,0.004566114,0.003246617,0.002987964,0.006544062,0.001515024,0.007205396,0.004061106,0.000610218,0.001283562,0.003303594,0.004524318,0.00431361,0.00178857,0.00305109,0.002995266,0.005912802,0.001641276,0.005281542,0.003514014,0.007498639,0.007301574,0.01662318,0.00378756,0.023626995,0.007869708,0.011951856,0.004797576,0.004229442,0.008881069,0.00063126,0.000610218,0.002861712,0
31,2.09E-05,0.000544594,0,0,0,0,6.28E-05,0.004524318,0.008252692,0.006296783,0.004168238,0.003707427,0.002387835,0.002168429,0.002492564,0.003791211,0.004985128,0.00364459,0.002460332,0.002764861,0.032864145,0.002743915,0.006255082,0.005341209,0.003037158,0.00148716,0.003120942,0.001438669,0.002366889,0.002136484,0.001675673,0.003544547,0.004545264,0.001801349,0.002094592,0.001927024,0.003669648,0.011394579,0.010703364,0.00672364,0.007464398,0.009739852,0.025595911,0.014850656,0.005424993,0.002773086,0,0,0,0
32,0,0,0,0,0,0,0.003976938,0.010710378,0.008374716,0.002953374,0.003114216,0.00241983,0.001830654,0.003414185,0.002882754,0.002482956,0.001872738,0.003955896,0.003770265,0.011194344,0.003198384,0.003808602,0.003058104,0.00273546,0.003135258,0.00568134,0.002861712,0.000942566,0.001746486,0.002777544,0.002819628,0.001654727,0.008143254,0.00789075,0.00284067,0.000967932,0.010074986,0.00915327,0.014561064,0.009553068,0.008629718,0.008795556,0.008017002,0.008711388,0.009279522,4.19E-05,0,0,0,0
33,0,0,0,0,0,0,0.001199394,0.011951856,0.0063126,0.00343513,0.005702382,0.00589176,0.008648262,0.005404047,0.002503998,0.001851696,0.002398788,0.001388772,0.006011478,0.005218416,0.004271526,0.003934854,0.003456076,0.00294588,0.007196364,0.2868235,0.080254187,0.003309455,0.005281542,0.00589176,0.002672334,0.003204725,0.011236428,0.006228432,0.001241478,0.007091154,0.008881069,0.01199394,0.020642202,0.005491962,0.035880357,0.006586146,0.011951856,0.011068092,0.002482956,0,0,0,0,0
