Location,Pixel_val,Coord_val,pixel_x,pixel_y,coord_x,coord_y,value,Min_Dist
92,"(1.0, 42.0)","(-13.23785555473836, 7.413594448273273)",1,42,-13.23785555,7.413594448,0,0.925734967
93,"(1.0, 43.0)","(-13.23785555473836, 7.3520166700028735)",1,43,-13.23785555,7.35201667,0,0.986322357
94,"(1.0, 44.0)","(-13.23785555473836, 7.290438891732474)",1,44,-13.23785555,7.290438892,0,1.047025311
95,"(1.0, 45.0)","(-13.23785555473836, 7.228861113462074)",1,45,-13.23785555,7.228861113,0,1.107824832
96,"(1.0, 46.0)","(-13.23785555473836, 7.167283335191673)",1,46,-13.23785555,7.167283335,0,1.168705847
97,"(1.0, 47.0)","(-13.23785555473836, 7.105705556921274)",1,47,-13.23785555,7.105705557,0,1.229656254
98,"(1.0, 48.0)","(-13.23785555473836, 7.044127778650873)",1,48,-13.23785555,7.044127779,0,1.290666221
99,"(1.0, 49.0)","(-13.23785555473836, 6.982550000380474)",1,49,-13.23785555,6.98255,0,1.351727684
100,"(2.0, 0.0)","(-13.177238887586759, 9.999861135630074)",2,0,-13.17723889,9.999861136,0,1.430312848
101,"(2.0, 1.0)","(-13.177238887586759, 9.938283357359673)",2,1,-13.17723889,9.938283357,0,1.376843051
102,"(2.0, 2.0)","(-13.177238887586759, 9.876705579089274)",2,2,-13.17723889,9.876705579,0,1.324077935
103,"(2.0, 3.0)","(-13.177238887586759, 9.815127800818873)",2,3,-13.17723889,9.815127801,0,1.272105191
104,"(2.0, 4.0)","(-13.177238887586759, 9.753550022548474)",2,4,-13.17723889,9.753550023,0,1.221026002
105,"(2.0, 5.0)","(-13.177238887586759, 9.691972244278073)",2,5,-13.17723889,9.691972244,0,1.170957311
106,"(2.0, 6.0)","(-13.177238887586759, 9.630394466007674)",2,6,-13.17723889,9.630394466,0,1.122034402
107,"(2.0, 7.0)","(-13.177238887586759, 9.568816687737273)",2,7,-13.17723889,9.568816688,0,1.067055098
108,"(2.0, 8.0)","(-13.177238887586759, 9.507238909466874)",2,8,-13.17723889,9.507238909,0,1.012174067
109,"(2.0, 9.0)","(-13.177238887586759, 9.445661131196474)",2,9,-13.17723889,9.445661131,0,0.958107378
110,"(2.0, 10.0)","(-13.177238887586759, 9.384083352926073)",2,10,-13.17723889,9.384083353,0,0.896910242
111,"(2.0, 11.0)","(-13.177238887586759, 9.322505574655674)",2,11,-13.17723889,9.322505575,0,0.835545962
112,"(2.0, 12.0)","(-13.177238887586759, 9.260927796385273)",2,12,-13.17723889,9.260927796,0,0.774215584
113,"(2.0, 13.0)","(-13.177238887586759, 9.199350018114874)",2,13,-13.17723889,9.199350018,0.001089188,0.71292786
114,"(2.0, 14.0)","(-13.177238887586759, 9.137772239844473)",2,14,-13.17723889,9.13777224,0.00178857,0.651694824
115,"(2.0, 15.0)","(-13.177238887586759, 9.076194461574074)",2,15,-13.17723889,9.076194462,0.006186348,0.590533486
116,"(2.0, 16.0)","(-13.177238887586759, 9.014616683303673)",2,16,-13.17723889,9.014616683,0.002440872,0.529468693
117,"(2.0, 17.0)","(-13.177238887586759, 8.953038905033274)",2,17,-13.17723889,8.953038905,0.001094184,0.468538198
118,"(2.0, 18.0)","(-13.177238887586759, 8.891461126762874)",2,18,-13.17723889,8.891461127,2.09E-05,0.407802199
119,"(2.0, 19.0)","(-13.177238887586759, 8.829883348492473)",2,19,-13.17723889,8.829883348,0.00031563,0.347362735
120,"(2.0, 20.0)","(-13.177238887586759, 8.768305570222074)",2,20,-13.17723889,8.76830557,0.000568134,0.287406945
121,"(2.0, 21.0)","(-13.177238887586759, 8.706727791951673)",2,21,-13.17723889,8.706727792,0.00010521,0.228316184
122,"(2.0, 22.0)","(-13.177238887586759, 8.645150013681274)",2,22,-13.17723889,8.645150014,0.000188513,0.170989628
123,"(2.0, 23.0)","(-13.177238887586759, 8.583572235410873)",2,23,-13.17723889,8.583572235,0.002777544,0.118026571
124,"(2.0, 24.0)","(-13.177238887586759, 8.521994457140474)",2,24,-13.17723889,8.521994457,0.003429846,0.078782839
125,"(2.0, 25.0)","(-13.177238887586759, 8.460416678870073)",2,25,-13.17723889,8.460416679,0.00042084,0.037738885
126,"(2.0, 26.0)","(-13.177238887586759, 8.398838900599674)",2,26,-13.17723889,8.398838901,0.00178857,0.01731375
127,"(2.0, 27.0)","(-13.177238887586759, 8.337261122329274)",2,27,-13.17723889,8.337261122,0.001989862,0.053254942
128,"(2.0, 28.0)","(-13.177238887586759, 8.275683344058873)",2,28,-13.17723889,8.275683344,0.00431361,0.101356476
129,"(2.0, 29.0)","(-13.177238887586759, 8.214105565788474)",2,29,-13.17723889,8.214105566,0.00357714,0.155155386
130,"(2.0, 30.0)","(-13.177238887586759, 8.152527787518073)",2,30,-13.17723889,8.152527788,0.007974918,0.203303629
131,"(2.0, 31.0)","(-13.177238887586759, 8.090950009247674)",2,31,-13.17723889,8.090950009,0.002743915,0.257245375
132,"(2.0, 32.0)","(-13.177238887586759, 8.029372230977273)",2,32,-13.17723889,8.029372231,0.006438852,0.314008989
133,"(2.0, 33.0)","(-13.177238887586759, 7.967794452706873)",2,33,-13.17723889,7.967794453,0.00410319,0.372305995
134,"(2.0, 34.0)","(-13.177238887586759, 7.9062166744364735)",2,34,-13.17723889,7.906216674,0.00378756,0.431515362
135,"(2.0, 35.0)","(-13.177238887586759, 7.844638896166074)",2,35,-13.17723889,7.844638896,0.007953876,0.491307345
136,"(2.0, 36.0)","(-13.177238887586759, 7.783061117895674)",2,36,-13.17723889,7.783061118,0.001780403,0.551492477
137,"(2.0, 37.0)","(-13.177238887586759, 7.721483339625273)",2,37,-13.17723889,7.72148334,0,0.611954771
138,"(2.0, 38.0)","(-13.177238887586759, 7.659905561354874)",2,38,-13.17723889,7.659905561,0,0.67261949
139,"(2.0, 39.0)","(-13.177238887586759, 7.598327783084473)",2,39,-13.17723889,7.598327783,0,0.733436405
140,"(2.0, 40.0)","(-13.177238887586759, 7.536750004814074)",2,40,-13.17723889,7.536750005,0,0.79437056
141,"(2.0, 41.0)","(-13.177238887586759, 7.475172226543673)",2,41,-13.17723889,7.475172227,0,0.855396902
142,"(2.0, 42.0)","(-13.177238887586759, 7.413594448273273)",2,42,-13.17723889,7.413594448,0,0.916497015
143,"(2.0, 43.0)","(-13.177238887586759, 7.3520166700028735)",2,43,-13.17723889,7.35201667,0,0.977657068
144,"(2.0, 44.0)","(-13.177238887586759, 7.290438891732474)",2,44,-13.17723889,7.290438892,0,1.038866474
145,"(2.0, 45.0)","(-13.177238887586759, 7.228861113462074)",2,45,-13.17723889,7.228861113,0,1.100116997
146,"(2.0, 46.0)","(-13.177238887586759, 7.167283335191673)",2,46,-13.17723889,7.167283335,0,1.16140213
147,"(2.0, 47.0)","(-13.177238887586759, 7.105705556921274)",2,47,-13.17723889,7.105705557,0,1.222716669
148,"(2.0, 48.0)","(-13.177238887586759, 7.044127778650873)",2,48,-13.17723889,7.044127779,0,1.284056402
149,"(2.0, 49.0)","(-13.177238887586759, 6.982550000380474)",2,49,-13.17723889,6.98255,0,1.345417884
150,"(3.0, 0.0)","(-13.11662222043516, 9.999861135630074)",3,0,-13.11662222,9.999861136,0,1.401478281
151,"(3.0, 1.0)","(-13.11662222043516, 9.938283357359673)",3,1,-13.11662222,9.938283357,0,1.347217114
152,"(3.0, 2.0)","(-13.11662222043516, 9.876705579089274)",3,2,-13.11662222,9.876705579,0,1.293243807
153,"(3.0, 3.0)","(-13.11662222043516, 9.815127800818873)",3,3,-13.11662222,9.815127801,0,1.239979347
154,"(3.0, 4.0)","(-13.11662222043516, 9.753550022548474)",3,4,-13.11662222,9.753550023,0,1.187519121
155,"(3.0, 5.0)","(-13.11662222043516, 9.691972244278073)",3,5,-13.11662222,9.691972244,0,1.135974555
156,"(3.0, 6.0)","(-13.11662222043516, 9.630394466007674)",3,6,-13.11662222,9.630394466,0,1.085476099
157,"(3.0, 7.0)","(-13.11662222043516, 9.568816687737273)",3,7,-13.11662222,9.568816688,0,1.036176714
158,"(3.0, 8.0)","(-13.11662222043516, 9.507238909466874)",3,8,-13.11662222,9.507238909,0,0.985411729
159,"(3.0, 9.0)","(-13.11662222043516, 9.445661131196474)",3,9,-13.11662222,9.445661131,0,0.929790128
